iter	Logloss
0	0.6927504459
1	0.6923261839
2	0.692054595
3	0.6917820156
4	0.6913875887
5	0.6910319505
6	0.6907405811
7	0.6905227056
8	0.6901897205
9	0.6898857348
10	0.6895075309
11	0.6892680635
12	0.6887827891
13	0.6885259999
14	0.6882621249
15	0.6879546112
16	0.6876480573
17	0.6872304248
18	0.6870688888
19	0.6867771458
20	0.6865574452
21	0.686138769
22	0.6858561159
23	0.6856277232
24	0.6854712868
25	0.6851006218
26	0.6847010511
27	0.6842964824
28	0.6840862449
29	0.6839046157
30	0.6834891198
31	0.682963038
32	0.6827325344
33	0.6824376789
34	0.6821261637
35	0.6818249716
36	0.6814302831
37	0.681281777
38	0.6808391444
39	0.6806172138
40	0.6803782548
41	0.680150196
42	0.6799454333
43	0.679740993
44	0.679488028
45	0.6790810894
46	0.6787110336
47	0.6784298847
48	0.6780003113
49	0.6776607402
50	0.6773155539
51	0.6768660631
52	0.6765563145
53	0.6762667833
54	0.6759879686
55	0.6756712082
56	0.6755043052
57	0.6751783244
58	0.674885625
59	0.6743964314
60	0.6740714919
61	0.6738303497
62	0.6735524261
63	0.6732506806
64	0.6729403073
65	0.6727032945
66	0.672367121
67	0.6720104304
68	0.6717528492
69	0.6713905582
70	0.6710653734
71	0.6708652563
72	0.6704636441
73	0.6701343663
74	0.6698725387
75	0.6694344569
76	0.6690397333
77	0.6686035198
78	0.6684386376
79	0.6680991796
80	0.6679626105
81	0.6677094647
82	0.6674942971
83	0.6671707901
84	0.6669060682
85	0.6666552763
86	0.6664136019
87	0.6662451707
88	0.665956586
89	0.6657583447
90	0.6653699952
91	0.6650059848
92	0.6647543645
93	0.664403375
94	0.6642034238
95	0.6638086454
96	0.6634360577
97	0.663213097
98	0.6630131558
99	0.6628527908
100	0.6625974369
101	0.6622677414
102	0.6618748019
103	0.6616425378
104	0.6611834443
105	0.6608473305
106	0.6607335745
107	0.6603187447
108	0.6600687034
109	0.6597664227
110	0.6594119435
111	0.6591390574
112	0.6589270136
113	0.6585933015
114	0.6583740797
115	0.6580798554
116	0.6578584219
117	0.6575490269
118	0.6572995362
119	0.6571042639
