iter	Logloss
0	0.6891278426
1	0.687034358
2	0.680643775
3	0.6769054353
4	0.6723480147
5	0.6679578245
6	0.6629042007
7	0.6592765579
8	0.6562300917
9	0.6528379276
10	0.6472375754
11	0.6436341683
12	0.6388763766
13	0.6348410888
14	0.630717771
15	0.627575036
16	0.624538571
17	0.6205150278
18	0.6173123865
19	0.6135104838
20	0.6099327296
21	0.6079334431
22	0.6052269394
23	0.6034320268
24	0.6011885179
25	0.5978688311
26	0.594848096
27	0.5914855803
28	0.5892554914
29	0.5876957356
30	0.5834168461
31	0.5809856937
32	0.5787096929
33	0.5759364363
34	0.5724802075
35	0.5704804172
36	0.5668416009
37	0.5638766732
38	0.5613485709
39	0.558822791
40	0.5570538629
41	0.5541732209
42	0.5516308662
43	0.550094663
44	0.5468514067
45	0.5454129955
46	0.5437928231
47	0.5419102246
48	0.5402304574
49	0.5372052015
50	0.5355039148
51	0.5337558196
52	0.5320852446
53	0.5302700106
54	0.5286574226
55	0.5266643588
56	0.5248187675
57	0.5227977761
58	0.5215806125
59	0.5203442828
60	0.5183457961
61	0.5165916267
62	0.5153005388
63	0.5134432011
64	0.5114557968
65	0.5101050713
66	0.507391789
67	0.5065118053
68	0.5059956229
69	0.5044303631
70	0.5022972212
71	0.5005359315
72	0.4990482359
73	0.4967635368
74	0.4960284967
75	0.4940436969
76	0.492358569
77	0.490896571
78	0.4890049681
79	0.487526999
80	0.4854547614
81	0.4846492213
82	0.4834692493
83	0.4813019691
84	0.4801977073
85	0.4783031395
86	0.4777917317
87	0.476029138
88	0.473843616
89	0.4719004398
90	0.4704615852
91	0.4698718314
92	0.4691934084
93	0.4675035673
94	0.4662687466
95	0.4653007395
96	0.4636542637
97	0.4616525617
98	0.4597879307
99	0.4578806162
100	0.4570998673
101	0.4555129939
102	0.4543868369
103	0.4531064143
104	0.4498247272
105	0.4488947166
106	0.447619734
107	0.4468085969
108	0.4462420075
109	0.4446564266
110	0.4439852376
111	0.4430527193
112	0.4421730383
113	0.4397176177
114	0.4387006978
