iter	Logloss
0	0.6917101315
1	0.6903096608
2	0.6889995847
3	0.687653814
4	0.6866715976
5	0.6853357043
6	0.6840891838
7	0.6827045849
8	0.6812919889
9	0.680275304
10	0.6790448597
11	0.6779766764
12	0.6767266137
13	0.6756601334
14	0.67412717
15	0.6729501997
16	0.6720700945
17	0.6710850852
18	0.6699286188
19	0.668611799
20	0.6673586709
21	0.6664430073
22	0.6653491429
23	0.6645334789
24	0.6632278306
25	0.6621615546
26	0.6611847196
27	0.6601534571
28	0.6587884086
29	0.6576867785
30	0.6565180506
31	0.6553875378
32	0.6544670377
33	0.6534276009
34	0.6521644592
35	0.6509710039
36	0.6497132438
37	0.6486825262
38	0.6476323945
39	0.6462659836
40	0.6453563145
41	0.6440283912
42	0.6427965164
43	0.6416357585
44	0.6406331744
45	0.6395345415
46	0.6387049811
47	0.6375638417
48	0.6364401409
49	0.6354351044
50	0.6345834732
51	0.6335720335
52	0.6323307582
53	0.6311798096
54	0.6302870342
55	0.6292919431
56	0.6285148348
57	0.6275439262
58	0.6261993817
59	0.6251648494
60	0.6238892419
61	0.6231503487
62	0.6222969464
63	0.6214207241
64	0.6204118729
65	0.6195045199
66	0.6184603827
67	0.6173889296
68	0.6161775589
69	0.6151362828
70	0.6138909204
71	0.6128763471
72	0.6118072782
73	0.6106758118
74	0.6093747275
75	0.6083973476
76	0.6074658803
77	0.6063727651
78	0.6051861218
79	0.6037945747
80	0.6026831354
81	0.6019115448
82	0.6009249006
83	0.5997814451
84	0.5985854013
85	0.5976659911
86	0.5966238294
87	0.5955121177
88	0.5943643025
89	0.5932370595
90	0.5922852244
91	0.5912577084
92	0.5903064183
93	0.5889573778
94	0.5878883089
95	0.5870728493
96	0.5860558237
97	0.5849362101
98	0.583972386
99	0.5831702777
100	0.5821021625
101	0.581199646
102	0.5803540775
103	0.5793918882
104	0.5781651906
105	0.5772995949
106	0.5762700353
107	0.5752659525
108	0.5742917061
109	0.5734101023
110	0.5724311556
111	0.5715592929
112	0.5706698554
113	0.5695828029
114	0.568489824
115	0.5674980027
116	0.5664538656
117	0.5656126567
118	0.564565318
119	0.563544069
120	0.5624876022
121	0.5616226877
122	0.5606473855
123	0.5598329135
124	0.5588613919
125	0.5576113292
126	0.5567286696
127	0.5558292866
128	0.5550663471
129	0.5538960866
130	0.5529273919
131	0.5521011693
132	0.5513867991
133	0.5503144264
134	0.5493775095
135	0.5486012868
136	0.5478412764
137	0.5468362059
138	0.5459657397
139	0.5450266429
140	0.5442668029
141	0.5432766846
142	0.5424530166
143	0.5413707324
144	0.5404556819
145	0.5394512585
146	0.5387556212
147	0.5378364495
148	0.5370219776
149	0.536138807
150	0.5352504935
151	0.5343235561
152	0.5335573469
153	0.5327768326
154	0.5322692394
155	0.5311579023
156	0.5302318845
157	0.5291893823
158	0.5283828463
159	0.527488436
160	0.5266838074
161	0.5258591516
162	0.5249379022
163	0.5241763932
164	0.5232738086
165	0.5223047052
166	0.521506582
167	0.5205769198
168	0.5199552264
169	0.5190894604
170	0.5181048938
171	0.5174842903
172	0.5167246546
173	0.515939985
174	0.5150633199
175	0.5142740522
176	0.5136440822
177	0.51271895
178	0.5118442263
179	0.5110007014
180	0.5101982525
181	0.5092954636
182	0.5086257798
183	0.5078685624
184	0.5070309639
185	0.506060464
186	0.5051288605
187	0.50438244
188	0.503636837
189	0.5027025087
190	0.5018922261
191	0.5012446131
192	0.500350884
193	0.4996082102
194	0.4988239152
195	0.497986521
196	0.4969705854
197	0.496118818
198	0.4951895305
199	0.4943629674
200	0.493752752
201	0.4931577955
202	0.4923317773
203	0.4913686344
204	0.4904029029
205	0.4897187437
206	0.488982439
207	0.4883260046
208	0.4874912671
209	0.4866352081
210	0.4859762873
211	0.4851141998
212	0.484295232
213	0.4836894444
214	0.4830471448
215	0.4822460583
216	0.4813523974
217	0.4805214064
218	0.4796775409
219	0.478765113
220	0.4780819757
221	0.4772112029
222	0.4764079707
223	0.4757913181
224	0.4751152652
225	0.4741999762
226	0.4732221876
227	0.4725285939
228	0.4717017242
229	0.4709550313
230	0.4700470652
231	0.4693897452
232	0.4685598101
233	0.4679192134
234	0.467229775
235	0.4665093422
236	0.4656133652
237	0.4648372105
238	0.4640522684
239	0.4635727746
240	0.4631355149
241	0.4623799324
242	0.4618318422
243	0.46108675
244	0.4602867876
245	0.459523201
246	0.4587475913
247	0.4579677241
248	0.4571653094
249	0.4565092155
250	0.456037317
251	0.455312797
252	0.4547965186
253	0.4542817388
254	0.4535024507
255	0.4529906341
256	0.4523082801
257	0.4516636303
258	0.4511948654
259	0.4505026681
260	0.4498102324
261	0.4490489279
262	0.4483184814
263	0.4476922921
264	0.4470120158
265	0.4463224411
266	0.4455950601
267	0.444703034
268	0.443829264
269	0.443125248
270	0.4426560061
271	0.4417853355
272	0.4410436835
273	0.4405300958
274	0.4399337087
275	0.4393497876
276	0.4386679104
277	0.4378876345
278	0.437193564
279	0.4365507535
280	0.4358365195
281	0.4352080822
282	0.4343761376
283	0.4338440895
284	0.4332313197
285	0.4327436515
286	0.4321123532
287	0.4313086782
288	0.4306601456
289	0.4300436633
290	0.4293765681
