,0,1,2,3,4,5,6
0,3111696,231,168,123,3223,341,222
1,"0    0.9
dtype: float64","0    0.9
dtype: float64","0    0.885714
dtype: float64","0    0.885714
dtype: float64","0    0.942857
dtype: float64","0    0.857143
dtype: float64","0    0.914286
dtype: float64"
2,"0    0.861257
dtype: float64","0    0.910673
dtype: float64","0    0.943129
dtype: float64","0    0.946199
dtype: float64","0    0.901316
dtype: float64","0    0.909503
dtype: float64","0    0.959503
dtype: float64"
3,"[13, 13]","[13, 14]","[13, 13]","[13, 13]","[10, 11]","[12, 13]","[4, 13]"
